student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,Gender,School_Type,Internet_Access,Grade_Category,Pass_Flag,Subject_Average,Attendance_Rate
1,14,male,public,post graduate,3.1,84.3,yes,<15 min,yes,notes,42.7,55.4,57.0,53.1,e,Male,Public,Yes,E,Fail,51.699999999999996,84.3
2,18,female,public,graduate,3.7,87.8,yes,>60 min,no,textbook,57.6,68.8,64.8,61.3,d,Female,Public,Yes,D,Pass,63.73333333333333,87.8
3,17,female,private,post graduate,7.9,65.5,no,<15 min,no,notes,84.8,95.0,79.2,89.6,b,Female,Private,No,B,Pass,86.33333333333333,65.5
4,16,other,public,high school,1.1,58.1,no,15-30 min,no,notes,44.4,27.5,54.7,41.6,e,Other,Public,No,E,Fail,42.2,58.1
5,16,female,public,high school,1.3,61.0,yes,30-60 min,yes,group study,8.9,32.7,30.0,25.4,f,Female,Public,Yes,F,Fail,23.866666666666664,61.0
6,19,male,public,no formal,3.8,69.6,yes,>60 min,yes,coaching,51.5,78.3,63.9,63.5,d,Male,Public,Yes,D,Pass,64.56666666666668,69.6
7,14,female,private,post graduate,1.8,81.6,yes,30-60 min,no,textbook,41.9,29.4,39.2,39.1,f,Female,Private,Yes,F,Fail,36.833333333333336,81.6
8,18,female,private,post graduate,5.6,59.4,yes,>60 min,yes,group study,56.7,60.1,53.4,69.6,d,Female,Private,Yes,D,Pass,56.73333333333334,59.4
9,15,other,private,high school,3.2,89.6,yes,15-30 min,yes,mixed,54.1,59.5,38.3,55.2,d,Other,Private,Yes,D,Pass,50.633333333333326,89.6
10,14,female,public,diploma,6.8,62.4,yes,>60 min,no,mixed,71.9,70.4,81.3,69.6,d,Female,Public,Yes,D,Pass,74.53333333333335,62.4
11,17,female,private,graduate,6.1,90.5,yes,15-30 min,no,notes,75.4,82.7,70.8,77.5,c,Female,Private,Yes,C,Pass,76.30000000000001,90.5
12,19,other,public,post graduate,4.0,96.2,yes,<15 min,yes,notes,62.0,54.7,58.0,65.0,d,Other,Public,Yes,D,Pass,58.23333333333333,96.2
13,18,female,private,high school,6.8,58.2,yes,>60 min,no,mixed,75.1,80.5,56.2,73.6,c,Female,Private,Yes,C,Pass,70.60000000000001,58.2
14,18,other,public,diploma,1.3,95.9,yes,30-60 min,yes,textbook,33.6,26.8,50.0,42.5,e,Other,Public,Yes,E,Fail,36.800000000000004,95.9
15,18,other,public,high school,4.9,85.3,yes,<15 min,no,coaching,88.1,66.1,70.3,69.3,d,Other,Public,Yes,D,Pass,74.83333333333333,85.3
16,18,other,private,post graduate,5.0,94.4,yes,15-30 min,yes,coaching,66.4,76.9,76.1,73.7,c,Other,Private,Yes,C,Pass,73.13333333333334,94.4
17,17,other,private,phd,2.3,67.3,yes,<15 min,yes,mixed,63.1,46.3,57.1,53.5,e,Other,Private,Yes,E,Fail,55.5,67.3
18,14,female,public,post graduate,0.9,93.2,yes,15-30 min,yes,online videos,57.2,50.5,54.1,49.8,e,Female,Public,Yes,E,Fail,53.93333333333334,93.2
19,19,male,public,post graduate,4.5,73.8,yes,30-60 min,yes,online videos,38.7,69.9,58.3,59.2,d,Male,Public,Yes,D,Pass,55.63333333333333,73.8
20,16,female,public,post graduate,4.4,59.5,yes,<15 min,no,mixed,49.9,53.9,60.4,61.9,d,Female,Public,Yes,D,Pass,54.73333333333333,59.5
21,17,male,private,phd,5.4,99.8,yes,>60 min,no,textbook,84.9,77.6,77.6,81.3,c,Male,Private,Yes,C,Pass,80.03333333333333,99.8
22,16,female,public,diploma,2.1,97.4,yes,>60 min,yes,group study,76.7,31.9,39.3,55.0,d,Female,Public,Yes,D,Pass,49.29999999999999,97.4
23,15,other,public,high school,1.8,56.2,no,30-60 min,yes,online videos,41.3,35.2,19.9,33.5,f,Other,Public,No,F,Fail,32.13333333333333,56.2
24,19,female,public,phd,7.8,72.8,yes,15-30 min,yes,notes,100.0,100.0,100.0,94.6,b,Female,Public,Yes,B,Pass,100.0,72.8
25,18,male,public,no formal,1.4,99.3,yes,<15 min,no,mixed,38.9,31.2,57.3,41.4,e,Male,Public,Yes,E,Fail,42.46666666666666,99.3
26,17,male,private,diploma,8.0,77.4,yes,>60 min,no,coaching,100.0,87.7,69.3,92.5,b,Male,Private,Yes,B,Pass,85.66666666666667,77.4
27,16,other,public,post graduate,5.9,74.9,yes,15-30 min,no,textbook,94.6,92.8,86.9,82.5,c,Other,Public,Yes,C,Pass,91.43333333333332,74.9
28,18,other,private,post graduate,5.2,59.8,yes,<15 min,yes,textbook,42.9,89.9,63.4,75.4,c,Other,Private,Yes,C,Pass,65.4,59.8
29,17,female,private,post graduate,3.0,71.0,yes,15-30 min,no,mixed,40.5,44.5,68.1,45.1,e,Female,Private,Yes,E,Fail,51.03333333333333,71.0
30,16,other,public,diploma,7.0,74.9,yes,>60 min,yes,textbook,76.1,73.5,71.7,82.6,c,Other,Public,Yes,C,Pass,73.76666666666667,74.9
31,16,other,private,phd,7.3,85.7,yes,30-60 min,yes,group study,79.6,86.0,95.4,90.4,b,Other,Private,Yes,B,Pass,87.0,85.7
32,15,female,private,high school,5.9,72.5,yes,>60 min,yes,textbook,79.3,82.5,77.4,77.1,c,Female,Private,Yes,C,Pass,79.73333333333333,72.5
33,14,male,private,no formal,5.8,81.7,yes,30-60 min,yes,notes,94.5,72.1,84.8,78.8,c,Male,Private,Yes,C,Pass,83.8,81.7
34,17,other,public,graduate,4.2,55.1,no,15-30 min,no,coaching,60.5,57.4,72.9,62.2,d,Other,Public,No,D,Pass,63.6,55.1
35,19,female,public,high school,1.1,88.2,yes,30-60 min,no,coaching,39.8,39.6,36.5,46.9,e,Female,Public,Yes,E,Fail,38.63333333333333,88.2
36,14,other,private,diploma,8.0,50.2,yes,30-60 min,no,online videos,93.1,99.8,100.0,90.4,b,Other,Private,Yes,B,Pass,97.63333333333333,50.2
37,19,other,public,diploma,0.6,82.1,yes,>60 min,no,coaching,45.9,43.5,35.0,42.0,e,Other,Public,Yes,E,Fail,41.46666666666667,82.1
38,18,female,public,high school,4.2,91.3,yes,15-30 min,no,notes,82.4,73.5,61.7,79.0,c,Female,Public,Yes,C,Pass,72.53333333333335,91.3
39,15,female,private,phd,3.3,88.3,yes,15-30 min,yes,notes,53.5,67.4,61.7,66.5,d,Female,Private,Yes,D,Pass,60.866666666666674,88.3
40,17,male,public,diploma,6.3,57.4,yes,<15 min,yes,notes,78.1,70.0,63.8,65.4,d,Male,Public,Yes,D,Pass,70.63333333333333,57.4
41,14,other,private,post graduate,6.0,92.2,yes,15-30 min,yes,textbook,72.8,72.5,100.0,88.7,b,Other,Private,Yes,B,Pass,81.76666666666667,92.2
